time	data	error	fit	res
0.0001216000	4.0197659734	0.0364214773	4.0497613279	-0.8235622692
0.0001280000	3.9503720310	0.0394310235	3.9820572126	-0.8035597040
0.0001408000	3.8166689143	0.0509001186	3.8531556769	-0.7168306021
0.0001536000	3.7039105589	0.0442973473	3.7323422979	-0.6418384106
0.0001664000	3.6005022717	0.0451407272	3.6189690926	-0.4090944502
0.0001792000	3.4959247745	0.0481598485	3.5124471580	-0.3430738254
0.0001920000	3.4068518629	0.0433803453	3.4122407082	-0.1242231988
0.0002048000	3.3027411912	0.0452615789	3.3178617764	-0.3340710944
0.0002176000	3.2429305509	0.0440705363	3.2288654975	0.3191486781
0.0002304000	3.1675919564	0.0454231140	3.1448459027	0.5007594539
0.0002432000	3.0770700608	0.0406197217	3.0654321635	0.2865085428
0.0002560000	2.9997153269	0.0579749161	2.9902852340	0.1626581544
0.0002816000	2.8953820516	0.0390008624	2.8515768001	1.1231867408
0.0003072000	2.7701320276	0.0362722749	2.7265371158	1.2018797254
0.0003328000	2.6604947263	0.0345688247	2.6133282029	1.3644236906
0.0003584000	2.5632731324	0.0387300127	2.5103977246	1.3652308436
0.0003840000	2.4676689226	0.0381595366	2.4164303260	1.3427468237
0.0004096000	2.3776536859	0.0348156551	2.3303079230	1.3598986685
0.0004352000	2.3062493932	0.0329615278	2.2510771671	1.6738370365
0.0004608000	2.2215593133	0.0309178147	2.1779226964	1.4113745535
0.0004864000	2.1512338613	0.0333518566	2.1101450661	1.2319792485
0.0005120000	2.0938391367	0.0314993695	2.0471424840	1.4824630917
0.0005632000	1.9796177211	0.0259952030	1.9334551217	1.7758122333
0.0006144000	1.8716082421	0.0215230353	1.8334830700	1.7713659567
0.0006656000	1.7710514703	0.0265520647	1.7446682880	0.9936395744
0.0007168000	1.6962291765	0.0240121142	1.6650505942	1.2984521884
0.0007680000	1.6251574770	0.0196121375	1.5931102551	1.6340504423
0.0008192000	1.5472543119	0.0204848181	1.5276551626	0.9567646245
0.0008704000	1.4904676237	0.0164357235	1.4677392619	1.3828634845
0.0009216000	1.4341276594	0.0144268900	1.4126030759	1.4919766895
0.0009728000	1.3769603885	0.0118923875	1.3616299833	1.2890939897
0.0010240000	1.3234039320	0.0154031457	1.3143138146	0.5901468139
0.0011264000	1.2405075863	0.0097100698	1.2290405486	1.1809428699
0.0012288000	1.1652903737	0.0054801652	1.1541601042	2.0310098389
0.0013312000	1.0887286115	0.0075444874	1.0877657419	0.1276255864
0.0014336000	1.0266326644	0.0060584935	1.0284256295	-0.2959423969
0.0015360000	0.9672713800	0.0053889490	0.9750345897	-1.4405795578
0.0016384000	0.9213374037	0.0043706968	0.9267198876	-1.2314933078
0.0017408000	0.8742483699	0.0025896897	0.8827792686	-3.2941780129
0.0018432000	0.8370591199	0.0043104866	0.8426388386	-1.2944521766
0.0019456000	0.7973902320	0.0048481330	0.8058235366	-1.7394953146
0.0020480000	0.7660803686	0.0035532009	0.7719358471	-1.6479447161
0.0022528000	0.7101126820	0.0052793844	0.7116504363	-0.2912752900
0.0024576000	0.6539486735	0.0035360821	0.6596434138	-1.6104660858
0.0026624000	0.6048900390	0.0032140104	0.6143262232	-2.9359532611
0.0028672000	0.5681745935	0.0030454211	0.5744929913	-2.0747205434
